date,avg_temperature_c,total_rainfall_mm,avg_humidity_percent,sensor_reading_count
2026-01-01,31.721785714285716,1029.354,62.79545454545455,56
2026-01-02,32.630967741935486,1256.934,65.43636363636364,62
2026-01-03,28.153666666666666,1242.646,59.0,60
2026-01-04,38.08315789473684,1175.508,66.28846153846153,57
2026-01-05,36.395614035087725,1205.95,61.39622641509434,57
2026-01-06,31.157962962962962,1138.896,61.90384615384615,54
2026-01-07,32.04955223880597,1242.98,59.46666666666667,67
2026-01-08,30.575208333333332,956.7339999999999,70.23809523809524,48
2026-01-09,34.973684210526315,979.028,59.64705882352941,57
2026-01-10,37.80603773584906,1093.7839999999999,59.61702127659574,53
2026-01-11,33.89983050847457,1225.6299999999999,62.74545454545454,59
2026-01-12,29.02219512195122,938.066,58.270270270270274,41
2026-01-13,33.301,1185.594,59.91304347826087,50
2026-01-14,32.3625,1002.042,59.97674418604651,52
2026-01-15,32.04259259259259,880.612,66.16666666666667,54
2026-01-16,36.49655172413794,1204.302,61.470588235294116,58
2026-01-17,38.715862068965514,1375.3319999999999,63.716981132075475,58
2026-01-18,32.369166666666665,859.276,69.125,36
2026-01-19,30.932542372881354,1400.486,56.339622641509436,59
2026-01-20,34.49777777777778,1003.804,62.13725490196079,54
2026-01-21,29.49529411764706,1187.248,61.55813953488372,51
2026-01-22,30.869318181818183,960.938,63.891891891891895,44
2026-01-23,29.581,889.656,59.588235294117645,40
2026-01-24,29.901967213114755,1506.94,63.46,61
2026-01-25,34.83987012987013,1320.504,59.80597014925373,77
2026-01-26,30.89392857142857,1347.924,64.15094339622641,56
2026-01-27,39.30352941176471,836.568,62.775510204081634,51
2026-01-28,32.06333333333333,1103.182,64.51063829787235,51
2026-01-29,35.654074074074074,1221.702,63.04347826086956,54
2026-01-30,36.54596153846154,1364.656,60.391304347826086,52
2026-01-31,34.99718309859155,1403.312,65.90163934426229,71
2026-02-01,32.24737704918033,1557.132,61.01754385964912,61
2026-02-02,30.200535714285714,1190.714,65.53061224489795,56
2026-02-03,34.44016666666666,1115.952,59.464285714285715,60
2026-02-04,34.117636363636365,1081.086,63.333333333333336,55
2026-02-05,35.21950819672131,1336.378,65.47368421052632,61
2026-02-06,31.73179487179487,1041.958,61.57142857142857,39
2026-02-07,32.52035087719298,1021.548,59.301886792452834,57
2026-02-08,31.611929824561404,1167.08,58.627450980392155,57
2026-02-09,32.89267857142857,1152.158,58.32692307692308,56
2026-02-10,34.39981481481481,1185.466,67.28571428571429,54
2026-02-11,31.194634146341464,964.294,65.48717948717949,41
2026-02-12,36.426065573770494,1489.8799999999999,63.05084745762712,61
2026-02-13,31.49208333333333,973.944,57.390243902439025,48
2026-02-14,35.894814814814815,1129.31,63.11764705882353,54
2026-02-15,28.134150943396225,1247.618,61.270833333333336,53
2026-02-16,32.24944444444444,742.168,62.64705882352941,36
2026-02-17,29.846666666666668,924.99,62.54545454545455,51
2026-02-18,32.338297872340426,1106.654,64.76923076923077,47
2026-02-19,30.2475,1206.144,63.241379310344826,60
2026-02-20,32.401372549019605,1013.76,65.1304347826087,51
2026-02-21,35.39033333333334,1281.782,64.84905660377359,60
2026-02-22,36.87851851851852,1172.61,70.41666666666667,54
2026-02-23,34.900338983050844,1100.774,62.31372549019608,59
2026-02-24,33.00698412698413,1271.61,67.69090909090909,63
2026-02-25,37.157872340425534,802.704,65.72727272727273,47
2026-02-26,37.43762711864407,1362.392,62.0188679245283,59
2026-02-27,32.26921875,1463.802,65.98245614035088,64
2026-02-28,31.75671428571428,1472.862,60.516666666666666,70
2026-03-01,33.37145161290323,1325.864,59.56666666666667,62
2026-03-02,30.11032786885246,1323.504,63.271186440677965,61
2026-03-03,34.915,1089.99,60.26,56
2026-03-04,36.378461538461536,985.432,58.020833333333336,52
2026-03-05,31.08111111111111,1389.474,66.55932203389831,63
2026-03-06,33.423541666666665,838.486,59.51162790697674,48
2026-03-07,32.0159375,1221.224,59.98275862068966,64
2026-03-08,28.751785714285713,1180.158,62.94,56
2026-03-09,32.95622222222222,1001.066,58.06818181818182,45
2026-03-10,33.09722222222222,1052.026,63.55102040816327,54
2026-03-11,35.34825396825397,1383.446,63.516666666666666,63
2026-03-12,29.817241379310346,1310.028,59.79245283018868,58
2026-03-13,30.776326530612245,913.206,60.23913043478261,49
2026-03-14,33.51682926829268,1031.506,62.22857142857143,41
2026-03-15,32.59571428571429,1154.416,64.33333333333333,56
2026-03-16,35.24173913043479,980.486,61.348837209302324,46
2026-03-17,31.449137931034482,1204.108,61.23529411764706,58
2026-03-18,33.31450980392157,1082.838,67.20454545454545,51
2026-03-19,35.153333333333336,1198.808,64.3529411764706,54
2026-03-20,34.49,1126.042,58.645833333333336,52
2026-03-21,32.72048780487805,668.066,56.65714285714286,41
2026-03-22,28.907647058823528,1123.854,64.19565217391305,51
2026-03-23,31.24566037735849,931.8,64.5,53
2026-03-24,31.950000000000003,1182.5439999999999,62.22222222222222,57
2026-03-25,32.06979166666667,1296.02,62.45454545454545,48
2026-03-26,34.41207547169811,1162.44,60.5531914893617,53
2026-03-27,32.814237288135594,1309.572,63.49090909090909,59
2026-03-28,34.54190476190476,1337.318,65.14285714285714,63
2026-03-29,32.69945454545454,1217.394,66.09615384615384,55
2026-03-30,33.67333333333333,1040.7259999999999,66.14285714285714,48
2026-03-31,37.265,1133.5339999999999,57.1875,54
2026-04-01,28.77690909090909,970.352,58.93877551020408,55
2026-04-02,31.587083333333336,943.592,66.8936170212766,48
2026-04-03,31.87390625,1255.724,64.7,64
2026-04-04,32.8935593220339,1078.922,61.43396226415094,59
2026-04-05,37.944310344827585,1221.412,62.244897959183675,58
2026-04-06,34.54125,907.7099999999999,67.63636363636364,48
2026-04-07,29.06671875,1385.0339999999999,63.62068965517241,64
2026-04-08,29.743050847457624,1372.854,62.388888888888886,59
2026-04-09,31.01081967213115,1291.838,67.0,61
2026-04-10,32.568703703703704,1211.884,66.5625,54
2026-04-11,33.742881355932205,1264.108,62.56603773584906,59
2026-04-12,31.522222222222222,939.918,65.6829268292683,45
2026-04-13,35.277794117647055,1649.492,59.61290322580645,68
2026-04-14,33.19,1167.588,59.25925925925926,59
2026-04-15,36.487755102040815,1081.742,59.91489361702128,49
2026-04-16,31.936734693877554,1057.344,60.71111111111111,49
2026-04-17,32.6834,1293.546,64.44186046511628,50
2026-04-18,30.875833333333333,979.2099999999999,59.725,48
2026-04-19,34.2836,1054.632,56.76086956521739,50
2026-04-20,31.53708333333333,1004.014,61.18181818181818,48
2026-04-21,32.255833333333335,985.058,60.34146341463415,48
2026-04-22,32.87769230769231,1015.4499999999999,63.883720930232556,52
2026-04-23,31.6965,1290.456,63.113207547169814,60
2026-04-24,29.849272727272727,1111.178,69.06818181818181,55
